thisRow.t,notes,onset,text,color_angle,participant_id,task,
,,26.664130899996962,fuschia parfait,312,lc,describe,
,,35.279910399985965,bleu parfait,208,lc,describe,
,,41.214356300013606,vert parfait,128,lc,describe,
,,45.01436079997802,orange parfait,32,lc,describe,
,,66.74812669999665,orange un peu rouge,16,lc,describe,
,,73.94716430001426,rouge un peu orange,0,lc,describe,
,,80.36403559998143,bleu un peu violet,216,lc,describe,
,,91.23038149997592,turquoise vert,144,lc,describe,
,,106.19886489998316,rouge un peu orange,8,lc,describe,
,,118.29801630001748,mauve un peu violet,264,lc,describe,
,,125.23321749997558,mauve un peu violet,256,lc,describe,
,,132.09831049997592,turquoise parfait,192,lc,describe,
,,137.36699339997722,turquoise parfait,176,lc,describe,
,,145.18229919997975,violet un peu bleu,240,lc,describe,
,,150.39912189997267,violet,248,lc,describe,
,,163.33369790000143,rose,336,lc,describe,
,,175.71636449999642,bleu un tout petit peu turquoise,200,lc,describe,
,,190.46593669999857,vert jaune,96,lc,describe,
,,193.79941269999836,vert jaune,104,lc,describe,
,,202.00055569998221,bleu un peu turquoise,168,lc,describe,
,,207.26628639997216,orange un peu jaune,40,lc,describe,
,,216.7336137999664,jaune un tout petit peu orange,56,lc,describe,
,,228.55012349999743,mauve un peu fuschia,296,lc,describe,
,,234.43462829996133,bleu un peu violet,224,lc,describe,
,,240.03554959996836,orange,24,lc,describe,
,,246.76735569996526,mauve un peu fushia,304,lc,describe,
,,251.50030020001577,jaune vert,72,lc,describe,
,,257.6340370000107,vert jaune,88,lc,describe,
,,269.4349056999781,rouge un peu orange,352,lc,describe,
,,280.11752289999276,fushia violet,320,lc,describe,
,,288.0016265999875,vert turquoise,136,lc,describe,
,,295.01886650000233,bleu très violet,232,lc,describe,
,,302.36783750000177,mauve un peu violet,272,lc,describe,
,,310.718048300012,turquoise vert,152,lc,describe,
,,314.8516098000109,vert,120,lc,describe,
,,321.4515756999608,mauve,288,lc,describe,
,,331.18558320001466,jaune très peu orangé,48,lc,describe,
,,337.45294139999896,vert très peu jaune,112,lc,describe,
,,340.5853698999854,jaune,64,lc,describe,
,,352.2020701000001,rose un peu fushia,328,lc,describe,
,,359.40300669998396,bleu un peu turquoise,184,lc,describe,
,,366.0697297999868,bleu turquoise,160,lc,describe,
,,376.43605700001353,jaune un peu vert,80,lc,describe,
,,385.72046699997736,rose un peu fushia,344,lc,describe,
,,394.9191931000096,mauve un violet,280,lc,describe,
