thisRow.t,notes,onset,response,stim,participant_id,task,
,,26.443149999991874,-28.2173558547293,352,lc,recall,
,,41.637801999997464,-56.898315174124946,296,lc,recall,
,,53.29023649998999,30.618605408909396,40,lc,recall,
,,70.96388589999697,-28.266405782404114,336,lc,recall,
,,86.81728089999524,-78.20949909796859,280,lc,recall,
,,101.2213167000009,-82.64004584116803,288,lc,recall,
,,114.18165210000006,179.72585960626677,192,lc,recall,
,,130.65252209999016,-101.0534624792202,256,lc,recall,
,,142.3079340999975,-162.99504530380833,184,lc,recall,
,,157.5225289999944,-9.938123972224881,0,lc,recall,
,,175.20785039999464,110.67442476087389,96,lc,recall,
,,197.27480790000118,-36.15074152929895,312,lc,recall,
,,215.55949119999423,90.52323458218419,72,lc,recall,
,,229.49910269999236,-35.28674897505972,320,lc,recall,
,,246.17574510000122,55.36632260345049,56,lc,recall,
,,257.5993374999962,30.599978693208946,24,lc,recall,
,,269.26483459999145,163.11320887605598,160,lc,recall,
,,280.2165174999973,118.87877367490222,120,lc,recall,
,,293.729897600002,20.224859431168078,16,lc,recall,
,,305.79206759999215,-132.72454356174578,200,lc,recall,
,,319.4075060000032,99.86580694308438,88,lc,recall,
,,331.45330589999503,54.24611274556325,64,lc,recall,
,,342.925032500003,-14.420773127510985,344,lc,recall,
,,354.3982673999999,123.32926763823068,136,lc,recall,
,,371.63704229998984,103.12589985401056,80,lc,recall,
,,385.7547450999991,-126.28254303540035,232,lc,recall,
,,399.685604600003,123.2875276889125,128,lc,recall,
,,410.99639279999246,12.875001559612476,8,lc,recall,
,,424.3960472000035,-94.21694282916859,216,lc,recall,
,,436.4778796000028,-111.61026497608063,272,lc,recall,
,,448.06016019999515,119.31000707091613,104,lc,recall,
,,459.01554409999517,158.45233455673852,168,lc,recall,
,,473.11855939999805,-143.9726266148964,208,lc,recall,
,,483.9966090999951,-122.7352262721076,248,lc,recall,
,,498.0218928999966,-56.162453315780674,328,lc,recall,
,,516.8702936999907,166.5042667192042,144,lc,recall,
,,526.3384558999969,52,48,lc,recall,
,,538.839687899992,155.85445803957836,152,lc,recall,
,,553.5894982000027,-84.8521151758637,264,lc,recall,
,,571.5076001999987,21.26301550246132,32,lc,recall,
,,583.5741497999988,-91.00069787785884,224,lc,recall,
,,597.5824514999986,-45.0,304,lc,recall,
,,616.5302182000014,117.16814237145853,112,lc,recall,
,,629.7715303000004,175.27986306895644,176,lc,recall,
,,649.5976295,-139.6915715658268,240,lc,recall,
