thisRow.t,notes,onset,response,stim,sequence_position,participant_id,session_id,recall_stim_type,response_type,match_stim_type,parameters,
,,22.809568600030616,322,320.0,0,lc,lc_1752184189,text,squares,None,"{'maintenance_time': 2.0, 'circle_size': 300, 'nb_segments': 360, 'outer_radius': 200, 'inner_radius': 150, 'wheel_beginning': 0, 'wheel_end': 360, 'data_path': '../data/', 'participant_id': 'lc', 'recall_stim_type': 'text', 'response_type': 'squares', 'match_stim_type': None, 'nb_stim_total': 45, 'nb_stim_per_trial': 1, 'nb_parity': 0, 'fullscreen': False, 'color_to_text_filename': '', 'session_id': 'lc_1752184189'}",
,,53.26096280000638,254,232.0,0,lc,lc_1752184189,text,squares,None,"{'maintenance_time': 2.0, 'circle_size': 300, 'nb_segments': 360, 'outer_radius': 200, 'inner_radius': 150, 'wheel_beginning': 0, 'wheel_end': 360, 'data_path': '../data/', 'participant_id': 'lc', 'recall_stim_type': 'text', 'response_type': 'squares', 'match_stim_type': None, 'nb_stim_total': 45, 'nb_stim_per_trial': 1, 'nb_parity': 0, 'fullscreen': False, 'color_to_text_filename': '', 'session_id': 'lc_1752184189'}",
,,72.93178710003849,47,40.0,0,lc,lc_1752184189,text,squares,None,"{'maintenance_time': 2.0, 'circle_size': 300, 'nb_segments': 360, 'outer_radius': 200, 'inner_radius': 150, 'wheel_beginning': 0, 'wheel_end': 360, 'data_path': '../data/', 'participant_id': 'lc', 'recall_stim_type': 'text', 'response_type': 'squares', 'match_stim_type': None, 'nb_stim_total': 45, 'nb_stim_per_trial': 1, 'nb_parity': 0, 'fullscreen': False, 'color_to_text_filename': '', 'session_id': 'lc_1752184189'}",
,,91.04386670002714,290,256.0,0,lc,lc_1752184189,text,squares,None,"{'maintenance_time': 2.0, 'circle_size': 300, 'nb_segments': 360, 'outer_radius': 200, 'inner_radius': 150, 'wheel_beginning': 0, 'wheel_end': 360, 'data_path': '../data/', 'participant_id': 'lc', 'recall_stim_type': 'text', 'response_type': 'squares', 'match_stim_type': None, 'nb_stim_total': 45, 'nb_stim_per_trial': 1, 'nb_parity': 0, 'fullscreen': False, 'color_to_text_filename': '', 'session_id': 'lc_1752184189'}",
,,110.41061380004976,344.0,344.0,0,lc,lc_1752184189,text,squares,None,"{'maintenance_time': 2.0, 'circle_size': 300, 'nb_segments': 360, 'outer_radius': 200, 'inner_radius': 150, 'wheel_beginning': 0, 'wheel_end': 360, 'data_path': '../data/', 'participant_id': 'lc', 'recall_stim_type': 'text', 'response_type': 'squares', 'match_stim_type': None, 'nb_stim_total': 45, 'nb_stim_per_trial': 1, 'nb_parity': 0, 'fullscreen': False, 'color_to_text_filename': '', 'session_id': 'lc_1752184189'}",
,,142.46091120003257,144.0,144.0,0,lc,lc_1752184189,text,squares,None,"{'maintenance_time': 2.0, 'circle_size': 300, 'nb_segments': 360, 'outer_radius': 200, 'inner_radius': 150, 'wheel_beginning': 0, 'wheel_end': 360, 'data_path': '../data/', 'participant_id': 'lc', 'recall_stim_type': 'text', 'response_type': 'squares', 'match_stim_type': None, 'nb_stim_total': 45, 'nb_stim_per_trial': 1, 'nb_parity': 0, 'fullscreen': False, 'color_to_text_filename': '', 'session_id': 'lc_1752184189'}",
,,160.0461677000858,10,16.0,0,lc,lc_1752184189,text,squares,None,"{'maintenance_time': 2.0, 'circle_size': 300, 'nb_segments': 360, 'outer_radius': 200, 'inner_radius': 150, 'wheel_beginning': 0, 'wheel_end': 360, 'data_path': '../data/', 'participant_id': 'lc', 'recall_stim_type': 'text', 'response_type': 'squares', 'match_stim_type': None, 'nb_stim_total': 45, 'nb_stim_per_trial': 1, 'nb_parity': 0, 'fullscreen': False, 'color_to_text_filename': '', 'session_id': 'lc_1752184189'}",
,,179.59502480004448,168,184.0,0,lc,lc_1752184189,text,squares,None,"{'maintenance_time': 2.0, 'circle_size': 300, 'nb_segments': 360, 'outer_radius': 200, 'inner_radius': 150, 'wheel_beginning': 0, 'wheel_end': 360, 'data_path': '../data/', 'participant_id': 'lc', 'recall_stim_type': 'text', 'response_type': 'squares', 'match_stim_type': None, 'nb_stim_total': 45, 'nb_stim_per_trial': 1, 'nb_parity': 0, 'fullscreen': False, 'color_to_text_filename': '', 'session_id': 'lc_1752184189'}",
,,195.31304820009973,99,104.0,0,lc,lc_1752184189,text,squares,None,"{'maintenance_time': 2.0, 'circle_size': 300, 'nb_segments': 360, 'outer_radius': 200, 'inner_radius': 150, 'wheel_beginning': 0, 'wheel_end': 360, 'data_path': '../data/', 'participant_id': 'lc', 'recall_stim_type': 'text', 'response_type': 'squares', 'match_stim_type': None, 'nb_stim_total': 45, 'nb_stim_per_trial': 1, 'nb_parity': 0, 'fullscreen': False, 'color_to_text_filename': '', 'session_id': 'lc_1752184189'}",
,,219.68405949999578,138,152.0,0,lc,lc_1752184189,text,squares,None,"{'maintenance_time': 2.0, 'circle_size': 300, 'nb_segments': 360, 'outer_radius': 200, 'inner_radius': 150, 'wheel_beginning': 0, 'wheel_end': 360, 'data_path': '../data/', 'participant_id': 'lc', 'recall_stim_type': 'text', 'response_type': 'squares', 'match_stim_type': None, 'nb_stim_total': 45, 'nb_stim_per_trial': 1, 'nb_parity': 0, 'fullscreen': False, 'color_to_text_filename': '', 'session_id': 'lc_1752184189'}",
,,236.81390120007563,288,272.0,0,lc,lc_1752184189,text,squares,None,"{'maintenance_time': 2.0, 'circle_size': 300, 'nb_segments': 360, 'outer_radius': 200, 'inner_radius': 150, 'wheel_beginning': 0, 'wheel_end': 360, 'data_path': '../data/', 'participant_id': 'lc', 'recall_stim_type': 'text', 'response_type': 'squares', 'match_stim_type': None, 'nb_stim_total': 45, 'nb_stim_per_trial': 1, 'nb_parity': 0, 'fullscreen': False, 'color_to_text_filename': '', 'session_id': 'lc_1752184189'}",
,,253.08110440010205,268,296.0,0,lc,lc_1752184189,text,squares,None,"{'maintenance_time': 2.0, 'circle_size': 300, 'nb_segments': 360, 'outer_radius': 200, 'inner_radius': 150, 'wheel_beginning': 0, 'wheel_end': 360, 'data_path': '../data/', 'participant_id': 'lc', 'recall_stim_type': 'text', 'response_type': 'squares', 'match_stim_type': None, 'nb_stim_total': 45, 'nb_stim_per_trial': 1, 'nb_parity': 0, 'fullscreen': False, 'color_to_text_filename': '', 'session_id': 'lc_1752184189'}",
,,271.9307716001058,282,280.0,0,lc,lc_1752184189,text,squares,None,"{'maintenance_time': 2.0, 'circle_size': 300, 'nb_segments': 360, 'outer_radius': 200, 'inner_radius': 150, 'wheel_beginning': 0, 'wheel_end': 360, 'data_path': '../data/', 'participant_id': 'lc', 'recall_stim_type': 'text', 'response_type': 'squares', 'match_stim_type': None, 'nb_stim_total': 45, 'nb_stim_per_trial': 1, 'nb_parity': 0, 'fullscreen': False, 'color_to_text_filename': '', 'session_id': 'lc_1752184189'}",
,,301.9474835000001,355,336.0,0,lc,lc_1752184189,text,squares,None,"{'maintenance_time': 2.0, 'circle_size': 300, 'nb_segments': 360, 'outer_radius': 200, 'inner_radius': 150, 'wheel_beginning': 0, 'wheel_end': 360, 'data_path': '../data/', 'participant_id': 'lc', 'recall_stim_type': 'text', 'response_type': 'squares', 'match_stim_type': None, 'nb_stim_total': 45, 'nb_stim_per_trial': 1, 'nb_parity': 0, 'fullscreen': False, 'color_to_text_filename': '', 'session_id': 'lc_1752184189'}",
,,319.5139767000219,54,48.0,0,lc,lc_1752184189,text,squares,None,"{'maintenance_time': 2.0, 'circle_size': 300, 'nb_segments': 360, 'outer_radius': 200, 'inner_radius': 150, 'wheel_beginning': 0, 'wheel_end': 360, 'data_path': '../data/', 'participant_id': 'lc', 'recall_stim_type': 'text', 'response_type': 'squares', 'match_stim_type': None, 'nb_stim_total': 45, 'nb_stim_per_trial': 1, 'nb_parity': 0, 'fullscreen': False, 'color_to_text_filename': '', 'session_id': 'lc_1752184189'}",
,,332.28149720001966,200.0,200.0,0,lc,lc_1752184189,text,squares,None,"{'maintenance_time': 2.0, 'circle_size': 300, 'nb_segments': 360, 'outer_radius': 200, 'inner_radius': 150, 'wheel_beginning': 0, 'wheel_end': 360, 'data_path': '../data/', 'participant_id': 'lc', 'recall_stim_type': 'text', 'response_type': 'squares', 'match_stim_type': None, 'nb_stim_total': 45, 'nb_stim_per_trial': 1, 'nb_parity': 0, 'fullscreen': False, 'color_to_text_filename': '', 'session_id': 'lc_1752184189'}",
,,340.9148563001072,150,160.0,0,lc,lc_1752184189,text,squares,None,"{'maintenance_time': 2.0, 'circle_size': 300, 'nb_segments': 360, 'outer_radius': 200, 'inner_radius': 150, 'wheel_beginning': 0, 'wheel_end': 360, 'data_path': '../data/', 'participant_id': 'lc', 'recall_stim_type': 'text', 'response_type': 'squares', 'match_stim_type': None, 'nb_stim_total': 45, 'nb_stim_per_trial': 1, 'nb_parity': 0, 'fullscreen': False, 'color_to_text_filename': '', 'session_id': 'lc_1752184189'}",
,,356.2997675000224,178,168.0,0,lc,lc_1752184189,text,squares,None,"{'maintenance_time': 2.0, 'circle_size': 300, 'nb_segments': 360, 'outer_radius': 200, 'inner_radius': 150, 'wheel_beginning': 0, 'wheel_end': 360, 'data_path': '../data/', 'participant_id': 'lc', 'recall_stim_type': 'text', 'response_type': 'squares', 'match_stim_type': None, 'nb_stim_total': 45, 'nb_stim_per_trial': 1, 'nb_parity': 0, 'fullscreen': False, 'color_to_text_filename': '', 'session_id': 'lc_1752184189'}",
,,368.43303120008204,65,64.0,0,lc,lc_1752184189,text,squares,None,"{'maintenance_time': 2.0, 'circle_size': 300, 'nb_segments': 360, 'outer_radius': 200, 'inner_radius': 150, 'wheel_beginning': 0, 'wheel_end': 360, 'data_path': '../data/', 'participant_id': 'lc', 'recall_stim_type': 'text', 'response_type': 'squares', 'match_stim_type': None, 'nb_stim_total': 45, 'nb_stim_per_trial': 1, 'nb_parity': 0, 'fullscreen': False, 'color_to_text_filename': '', 'session_id': 'lc_1752184189'}",
,,381.9658138999948,292,264.0,0,lc,lc_1752184189,text,squares,None,"{'maintenance_time': 2.0, 'circle_size': 300, 'nb_segments': 360, 'outer_radius': 200, 'inner_radius': 150, 'wheel_beginning': 0, 'wheel_end': 360, 'data_path': '../data/', 'participant_id': 'lc', 'recall_stim_type': 'text', 'response_type': 'squares', 'match_stim_type': None, 'nb_stim_total': 45, 'nb_stim_per_trial': 1, 'nb_parity': 0, 'fullscreen': False, 'color_to_text_filename': '', 'session_id': 'lc_1752184189'}",
,,404.94857470004354,311,328.0,0,lc,lc_1752184189,text,squares,None,"{'maintenance_time': 2.0, 'circle_size': 300, 'nb_segments': 360, 'outer_radius': 200, 'inner_radius': 150, 'wheel_beginning': 0, 'wheel_end': 360, 'data_path': '../data/', 'participant_id': 'lc', 'recall_stim_type': 'text', 'response_type': 'squares', 'match_stim_type': None, 'nb_stim_total': 45, 'nb_stim_per_trial': 1, 'nb_parity': 0, 'fullscreen': False, 'color_to_text_filename': '', 'session_id': 'lc_1752184189'}",
,,415.01737930008676,173,176.0,0,lc,lc_1752184189,text,squares,None,"{'maintenance_time': 2.0, 'circle_size': 300, 'nb_segments': 360, 'outer_radius': 200, 'inner_radius': 150, 'wheel_beginning': 0, 'wheel_end': 360, 'data_path': '../data/', 'participant_id': 'lc', 'recall_stim_type': 'text', 'response_type': 'squares', 'match_stim_type': None, 'nb_stim_total': 45, 'nb_stim_per_trial': 1, 'nb_parity': 0, 'fullscreen': False, 'color_to_text_filename': '', 'session_id': 'lc_1752184189'}",
,,440.2326742000878,88.0,88.0,0,lc,lc_1752184189,text,squares,None,"{'maintenance_time': 2.0, 'circle_size': 300, 'nb_segments': 360, 'outer_radius': 200, 'inner_radius': 150, 'wheel_beginning': 0, 'wheel_end': 360, 'data_path': '../data/', 'participant_id': 'lc', 'recall_stim_type': 'text', 'response_type': 'squares', 'match_stim_type': None, 'nb_stim_total': 45, 'nb_stim_per_trial': 1, 'nb_parity': 0, 'fullscreen': False, 'color_to_text_filename': '', 'session_id': 'lc_1752184189'}",
