thisRow.t,notes,onset,response,stim,participant_id,task,
,,281.96612529997947,violet légerement bleuté,264.0,lc_blue,describe,
,,293.06608109996887,violet légeremnt bleuté,232.0,lc_blue,describe,
,,310.88483819999965,bleu qui tire leger sur le turquoise,120.0,lc_blue,describe,
,,318.18408179999096,turquoise parfait,8.0,lc_blue,describe,
,,329.6683895000024,violet qui tire vers le bleu,216.0,lc_blue,describe,
,,334.68398889998207,turquoise parfait,0.0,lc_blue,describe,
,,342.83489629998803,violet leger bleu,240.0,lc_blue,describe,
,,353.10062679997645,mauve un peu violet,304.0,lc_blue,describe,
,,357.4842786999652,mauve un peu violet,280.0,lc_blue,describe,
,,371.8205422000028,mauve tres tres legerment violet,344.0,lc_blue,describe,
,,383.0848882999853,limite mauve violet,312.0,lc_blue,describe,
,,394.7193599999882,bleu legeremnt turquoise,104.0,lc_blue,describe,
,,403.7543568999972,bleu qui tire vers le violet,224.0,lc_blue,describe,
,,416.08492079999996,violet qui va vers le mauve,296.0,lc_blue,describe,
,,427.95300789998146,bleu tres tres leger violet,160.0,lc_blue,describe,
,,440.9361755999853,violet assez largemnt bleu,256.0,lc_blue,describe,
,,464.1025053000194,turquoise qui va vers le bleu mais lturquoise,24.0,lc_blue,describe,
,,486.705022500013,limite bleu turquoise,56.0,lc_blue,describe,
,,499.27170749998186,bleu equidistant,88.0,lc_blue,describe,
,,514.9549690000131,violet leger bleu,248.0,lc_blue,describe,
,,525.020529899979,bleu qui tire un peu vers le violet,128.0,lc_blue,describe,
,,538.437926899991,bleu qui va un peu vers le turquoise,72.0,lc_blue,describe,
,,544.2703629999887,mauve tres leger violet,328.0,lc_blue,describe,
,,550.4716884999652,mauve tres leger violet,336.0,lc_blue,describe,
,,561.3048663000227,bleu qui va un peu vers le turquoise,96.0,lc_blue,describe,
,,570.622501100006,limite mauve violet,272.0,lc_blue,describe,
,,628.2554509000038,turquoise un peu bleu,32.0,lc_blue,describe,
,,1033.881014899991,mauve legerement violet,352.0,lc_blue,describe,
,,1127.7144817999797,bleu qui tire leger violet,144.0,lc_blue,describe,
,,1138.147767700022,bleu plus legerment turquoise,64.0,lc_blue,describe,
,,1144.3145406999975,bleu turquoise,40.0,lc_blue,describe,
,,1278.1343167999876,violet très bleuté,192.0,lc_blue,describe,
,,1287.86684719997,mauve violet equidistant,288.0,lc_blue,describe,
,,1297.5856730999658,turquoise tres tres leger bleu,48.0,lc_blue,describe,
,,1305.800687799987,bleu tres tres leger turquoise,80.0,lc_blue,describe,
,,1310.6188788000145,bleu equidistant,112.0,lc_blue,describe,
,,1325.0338940999936,mauve tres leger violet,320.0,lc_blue,describe,
,,1333.48389209999,bleu turquoise equidistant,136.0,lc_blue,describe,
,,1346.2348358000163,bleu leger violet,200.0,lc_blue,describe,
,,1352.418277699966,bleu tres leger violet,176.0,lc_blue,describe,
,,1359.1515720000025,bleu tres tres leger violet,152.0,lc_blue,describe,
,,1364.8681115999934,bleu leger violet,208.0,lc_blue,describe,
,,1371.336673200014,bleu tres tres leger violet,184.0,lc_blue,describe,
,,1392.052960400004,bleu pointe de violet,168.0,lc_blue,describe,
,,1397.1859280000208,turquoise,16.0,lc_blue,describe,
