thisRow.t,notes,onset,response,stim,participant_id,task,
,,31.457040600012988,violet bleu aa,224,lc,describe,
,,40.873768499994185,rouge orange a,0,lc,describe,
,,52.08036190003622,turquoise bleu a,184,lc,describe,
,,59.34052359999623,orange jaune aa,40,lc,describe,
,,85.80748170003062,fushia mauve a,312,lc,describe,
,,108.80922880000435,vert turquoise a,144,lc,describe,
,,114.49234080000315,bleu,176,lc,describe,
,,120.82647140003974,vert turquoise a,152,lc,describe,
,,129.04209440003615,mauve fushia a,304,lc,describe,
,,144.1088578000199,jaune vert a,72,lc,describe,
,,150.92668229999254,bleu,192,lc,describe,
,,163.67534439999145,mauve violet aa,272,lc,describe,
,,170.5433602000121,jaune orange a,48,lc,describe,
,,174.14373090001754,vert jaune a,104,lc,describe,
,,194.4431749000214,rouge fushia aa,320,lc,describe,
,,199.71015610004542,orange rouge a,8,lc,describe,
,,215.8435769000207,violet bleu a,248,lc,describe,
,,237.843875200022,rouge fushia a,336,lc,describe,
,,256.6119350999943,vert jaune a,112,lc,describe,
,,263.6119555000332,mauve violet a,296,lc,describe,
,,274.36120169999776,mauve violet aa,280,lc,describe,
,,305.37775710003916,rouge orange a,344,lc,describe,
,,309.64524000004167,bleu,200,lc,describe,
,,312.4451071000076,jaune,56,lc,describe,
,,317.92815620003967,vert turquoise a,136,lc,describe,
,,332.9955458000186,violet mauve aa,264,lc,describe,
,,344.7300046000164,vert jaune a,120,lc,describe,
,,348.5290979000274,orange rouge a,16,lc,describe,
,,352.59747159999097,vert jaune aa,96,lc,describe,
,,360.2313914000406,violet mauve a,256,lc,describe,
,,370.1647528000176,jaune vert aa,80,lc,describe,
,,382.5796494000242,bleu violet aa,216,lc,describe,
,,395.24657360004494,rouge fushia aa,328,lc,describe,
,,403.2467243000283,bleu violet aa,232,lc,describe,
,,407.91350920003606,orange jaune a,32,lc,describe,
,,420.2471299000317,violet bleu aa,240,lc,describe,
,,428.84810430003563,rouge orange a,352,lc,describe,
,,458.33165670000017,turquoise,168,lc,describe,
,,465.34890840004664,vert jaune a,128,lc,describe,
,,472.8156163000385,turquoise,160,lc,describe,
,,475.4140263000154,jaune,64,lc,describe,
,,480.8149483000161,bleu violet a,208,lc,describe,
,,484.3480899000424,mauve,288,lc,describe,
,,495.7999296000344,jaune vert aa,88,lc,describe,
,,500.0657019999926,orange rouge a,24,lc,describe,
